1910,43
1911,182
1912,547
1913,397
1914,722
1915,828
1916,1012
1917,385
1918,909
1919,1087
1920,749
1921,751
1922,820
1923,599
1924,950
1925,1439
1926,1591
1927,1316
1928,1804
1929,1862
1930,1212
1931,517
1932,634
1933,1242
1934,1860
1935,2255
1936,4880
1937,7197
1938,3734
1939,5500
1940,4671
1941,5565
1942,4992
1943,5344
1944,2291
1945,1656
1946,3425
1947,7446
1948,9780
1949,8901
1950,8186
1951,18264
1952,11526
1953,8317
1954,12582
1955,15593
1956,18590
1957,19156
1958,21846
1959,21298
1960,20244
1961,21130
1962,23245
1963,27858
1964,29255
1965,25548
1966,27378
1967,25921
1968,24080
1969,24142
1970,25830
1971,24
1972,6
1973,15
1974,21421
1975,21189
1976,17353
1977,12219
1978,10971
1979,8554
1980,2092
1981,1452
1982,621
1983,414
1984,463
1985,400
1986,200
1987,200
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,1123
2001,1249
2002,1374
2003,1479
2004,1370
2005,1524
2006,1845
2007,1549
2008,1456
2009,1594
2010,1360
2011,1098
2012,1122
2013,1020
